District,Code,InDistrict_Exp,InDistrict_FTE,InDistrict_PerPupil,Total_Exp,Total_FTE,Total_PerPupil
Old Rochester,7400000,22365775.0,1048.2,21337.32,22691039.0,1075.8,21092.25
Old Sturbridge Academy Charter Public School (District),35150000,6337184.95,357.3,17737.31,6337184.95,357.3,17737.31
Orange,2230000,9640850.0,513.5,18774.78,11027971.15,603.7,18267.3
Orleans,2240000,5913519.92,146.1,40475.84,6106727.52,156.3,39070.55
Oxford,2260000,26551635.88,1453.3,18269.89,29763767.58,1577.5,18867.68
Palmer,2270000,23669776.47,1113.2,21262.82,27252661.8,1271.9,21426.73
Pathfinder Regional Vocational Technical,8600000,16601242.76,629.7,26363.73,16758916.23,646.0,25942.59
Paulo Freire Social Justice Charter School (District),35010000,6298556.39,222.1,28364.21,6298556.39,222.1,28364.21
Peabody,2290000,102560158.0,5917.1,17332.84,116986141.9,6198.4,18873.6
Pelham,2300000,2587424.0,134.5,19237.35,2613068.0,139.5,18731.67
Pembroke,2310000,44636896.81,2508.4,17794.97,50475311.02,2666.5,18929.42
Pentucket,7450000,40086690.0,2233.7,17946.32,45625530.8,2367.8,19269.17
Petersham,2340000,2361189.78,125.5,18814.26,2529398.77,136.4,18543.98
"Phoenix Academy Charter Public High School, Chelsea (District)",4930000,5589680.89,199.9,27966.58,5589680.89,199.9,27966.58
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,2855250.66,114.5,24943.22,2855250.66,114.5,24943.22
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,4063710.21,167.8,24217.58,4063710.21,167.8,24217.58
Pioneer Charter School of Science (District),4940000,14105455.11,777.9,18132.04,14105455.11,777.9,18132.04
Pioneer Charter School of Science II (District),35060000,8284434.37,458.6,18063.83,8284434.37,458.6,18063.83
Pioneer Valley,7500000,14951795.0,646.6,23123.72,16499770.77,731.8,22546.83
Pioneer Valley Chinese Immersion Charter (District),4970000,9270575.18,544.9,17013.35,9270575.18,544.9,17013.35
Pioneer Valley Performing Arts Charter Public (District),4790000,6693667.82,398.9,16780.32,6693667.82,398.9,16780.32
Pittsfield,2360000,114139302.0,4920.9,23194.8,126779847.4,5747.5,22058.26
Plainville,2380000,12214294.69,647.0,18878.35,13390734.69,700.9,19105.06
Plymouth,2390000,151852269.7,7064.7,21494.51,170281021.6,7703.2,22105.23
Plympton,2400000,3841909.25,240.5,15974.67,4662572.66,261.2,17850.58
Prospect Hill Academy Charter (District),4870000,23314907.25,985.8,23650.75,23314907.25,985.8,23650.75
Provincetown,2420000,7213348.2,139.3,51782.83,8022217.77,165.6,48443.34
Quabbin,7530000,41014995.79,2179.1,18821.99,44161575.06,2284.2,19333.5
Quaboag Regional,7780000,21128889.03,1157.6,18252.32,23393497.23,1292.2,18103.62
Quincy,2430000,185481501.9,9701.0,19119.83,208221562.0,9987.5,20848.22
Ralph C Mahar,7550000,13981135.0,517.3,27027.13,16030289.05,630.8,25412.63
Randolph,2440000,68602128.96,2671.4,25680.22,80901054.04,3248.0,24907.96
Reading,2460000,69216581.07,3841.3,18019.05,74964424.32,3933.4,19058.43
Revere,2480000,134779775.7,7425.3,18151.42,164730730.4,8217.6,20046.09
Richmond,2490000,3862423.26,151.7,25460.93,4575490.54,204.4,22384.98
Rising Tide Charter Public (District),4830000,11548750.66,626.3,18438.47,11548750.66,626.3,18438.47
River Valley Charter (District),4820000,4735429.52,287.9,16451.03,4735429.52,287.9,16451.03
Rochester,2500000,8456766.0,485.0,17436.63,9382964.63,502.2,18683.72
Rockland,2510000,43435690.04,2158.3,20124.95,47763916.04,2312.3,20656.45
Rockport,2520000,18781069.0,712.4,26363.1,21677207.36,768.8,28196.16
Rowe,2530000,1986879.33,68.3,29090.47,2507841.08,90.6,27680.37
Roxbury Preparatory Charter (District),4840000,33318837.19,1262.1,26399.94,33318837.19,1262.1,26399.94
